Year,American League winner,American League Team,American League Position,National League winner,National League Team,National League Position
1945,Hal Newhouser,Detroit Tigers,LHP,Phil Cavarretta,Chicago Cubs,1B
1946,Ted Williams,Boston Red Sox,OF,Stan Musial,St Louis Cardinals,1B
1947,Joe DiMaggio,New York Yankees,OF,Bob Elliott,Boston Braves,3B
1948,Lou Boudreau,Cleveland Indians,SS,Stan Musial,St Louis Cardinals,OF
1949,Ted Williams,Boston Red Sox,OF,Jackie Robinson,Brooklyn Dodgers,2B
1950,Phil Rizzuto,New York Yankees,SS,Jim Konstanty,Philadelphia Phillies,RHP
1951,Yogi Berra,New York Yankees,C,Roy Campanella,Brooklyn Dodgers,C
1952,Bobby Shantz,Philadelphia Athletics,LHP,Hank Sauer,Chicago Cubs,OF
1953,Al Rosen,Cleveland Indians,3B,Roy Campanella,Brooklyn Dodgers,C
1954,Yogi Berra,New York Yankees,C,Willie Mays,New York Giants,OF
1955,Yogi Berra,New York Yankees,C,Roy Campanella,Brooklyn Dodgers,C
1956,Mickey Mantle,New York Yankees,OF,Don Newcombe,Brooklyn Dodgers,RHP
1957,Mickey Mantle,New York Yankees,OF,Hank Aaron,Milwaukee Braves,OF
1958,Jackie Jensen,Boston Red Sox,OF,Ernie Banks,Chicago Cubs,SS
1959,Nellie Fox,Chicago White Sox,2B,Ernie Banks,Chicago Cubs,SS
1960,Roger Maris,New York Yankees,OF,Dick Groat,Pittsburgh Pirates,SS
1961,Roger Maris,New York Yankees,OF,Frank Robinson,Cincinnati Reds,OF
1962,Mickey Mantle,New York Yankees,OF,Maury Wills,Los Angeles Dodgers,SS
1963,Elston Howard,New York Yankees,C,Sandy Koufax,Los Angeles Dodgers,LHP
1964,Brooks Robinson,Baltimore Orioles,3B,Ken Boyer,St Louis Cardinals,3B
1965,Zoilo Versalles,Minnesota Twins,SS,Willie Mays,San Francisco Giants,OF
1966,Frank Robinson,Baltimore Orioles,OF,Roberto Clemente,Pittsburgh Pirates,OF
1967,Carl Yastrzemski,Boston Red Sox,OF,Orlando Cepeda,St Louis Cardinals,1B
1968,Denny McLain,Detroit Tigers,RHP,Bob Gibson,St Louis Cardinals,RHP
1969,Harmon Killebrew,Minnesota Twins,3B,Willie McCovey,San Francisco Giants,1B
1970,Boog Powell,Baltimore Orioles,1B,Johnny Bench,Cincinnati Reds,C
1971,Vida Blue,Oakland Athletics,LHP,Joe Torre,St Louis Cardinals,3B
1972,Dick Allen,Chicago White Sox,1B,Johnny Bench,Cincinnati Reds,C
1973,Reggie Jackson,Oakland Athletics,OF,Pete Rose,Cincinnati Reds,OF
1974,Jeff Burroughs,Texas Rangers,OF,Steve Garvey,Los Angeles Dodgers,1B
1975,Fred Lynn,Boston Red Sox,OF,Joe Morgan,Cincinnati Reds,2B
1976,Thurman Munson,New York Yankees,C,Joe Morgan,Cincinnati Reds,2B
1977,Rod Carew,Minnesota Twins,1B,George Foster,Cincinnati Reds,OF
1978,Jim Rice,Boston Red Sox,OF,Dave Parker,Pittsburgh Pirates,OF
1979,Don Baylor,California Angels,LF/DH,Keith Hernandez,St Louis Cardinals,1B
1979,,,,Willie Stargell,Pittsburgh Pirates,1B
1980,George Brett,Kansas City Royals,3B,Mike Schmidt,Philadelphia Phillies,3B
1981,Rollie Fingers,Milwaukee Brewers,RHP,Mike Schmidt,Philadelphia Phillies,3B
1982,Robin Yount,Milwaukee Brewers,SS,Dale Murphy,Atlanta Braves,OF
1983,Cal Ripken Jr,Baltimore Orioles,SS,Dale Murphy,Atlanta Braves,OF
1984,Willie Hernández,Detroit Tigers,LHP,Ryne Sandberg,Chicago Cubs,2B
1985,Don Mattingly,New York Yankees,1B,Willie McGee,St Louis Cardinals,OF
1986,Roger Clemens,Boston Red Sox,RHP,Mike Schmidt,Philadelphia Phillies,3B
1987,George Bell,Toronto Blue Jays,OF,Andre Dawson,Chicago Cubs,OF
1988,Jose Canseco,Oakland Athletics,OF,Kirk Gibson,Los Angeles Dodgers,OF
1989,Robin Yount,Milwaukee Brewers,OF,Kevin Mitchell,San Francisco Giants,OF
1990,Rickey Henderson,Oakland Athletics,OF,Barry Bonds,Pittsburgh Pirates,OF
1991,Cal Ripken Jr,Baltimore Orioles,SS,Terry Pendleton,Atlanta Braves,3B
1992,Dennis Eckersley,Oakland Athletics,RHP,Barry Bonds,Pittsburgh Pirates,OF
1993,Frank Thomas,Chicago White Sox,1B,Barry Bonds,San Francisco Giants,OF
1994,Frank Thomas,Chicago White Sox,1B,Jeff Bagwell,Houston Astros,1B
1995,Mo Vaughn,Boston Red Sox,1B,Barry Larkin,Cincinnati Reds,SS
1996,Juan González,Texas Rangers,OF,Ken Caminiti,San Diego Padres,3B
1997,Ken Griffey Jr,Seattle Mariners,OF,Larry Walker,Colorado Rockies,OF
1998,Juan González,Texas Rangers,OF,Sammy Sosa,Chicago Cubs,OF
1999,Iván RodrÃ­guez,Texas Rangers,C,Chipper Jones,Atlanta Braves,3B
2000,Jason Giambi,Oakland Athletics,1B,Jeff Kent,San Francisco Giants,2B
2001,Ichiro Suzuki,Seattle Mariners,OF,Barry Bonds,San Francisco Giants,OF
2002,Miguel Tejada,Oakland Athletics,SS,Barry Bonds,San Francisco Giants,OF
2003,Alex Rodriguez,Texas Rangers,SS,Barry Bonds,San Francisco Giants,OF
2004,Vladimir Guerrero,Anaheim Angels,OF,Barry Bonds,San Francisco Giants,OF
2005,Alex Rodriguez,New York Yankees,3B,Albert Pujols,St Louis Cardinals,1B
2006,Justin Morneau,Minnesota Twins,1B,Ryan Howard,Philadelphia Phillies,1B
2007,Alex Rodriguez,New York Yankees,3B,Jimmy Rollins,Philadelphia Phillies,SS
2008,Dustin Pedroia,Boston Red Sox,2B,Albert Pujols,St Louis Cardinals,1B
2009,Joe Mauer,Minnesota Twins,C,Albert Pujols,St Louis Cardinals,1B
2010,Josh Hamilton,Texas Rangers,OF,Joey Votto,Cincinnati Reds,1B
2011,Justin Verlander,Detroit Tigers,RHP,Ryan Braun,Milwaukee Brewers,OF
2012,Miguel Cabrera,Detroit Tigers,3B,Buster Posey,San Francisco Giants,C
2013,Miguel Cabrera,Detroit Tigers,3B,Andrew McCutchen,Pittsburgh Pirates,OF
2014,Mike Trout,Los Angeles Angels,OF,Clayton Kershaw,Los Angeles Dodgers,LHP
2015,Josh Donaldson,Toronto Blue Jays,3B,Bryce Harper,Washington Nationals,OF
2016,Mike Trout,Los Angeles Angels,OF,Kris Bryant,Chicago Cubs,3B/OF
2017,José Altuve,Houston Astros,2B,Giancarlo Stanton,Miami Marlins,OF
2018,Mookie Betts,Boston Red Sox,OF,Christian Yelich,Milwaukee Brewers,OF
2019,Mike Trout,Los Angeles Angels,OF,Cody Bellinger,Los Angeles Dodgers,OF
2020,José Abreu,Chicago White Sox,1B,Freddie Freeman,Atlanta Braves,1B
2021,Shohei Ohtani,Los Angeles Angels,RHP/DH,Bryce Harper,Philadelphia Phillies,OF
